timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
15550147,0.2136593,0.00068858685,-0.0069784024,0.9768832,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15602176,0.21653862,0.0014808275,-0.0072952234,0.97624576,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15654143,0.2170996,0.00076493394,-0.00885254,0.9761091,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15706146,0.22222848,0.0004309768,-0.007844997,0.974963,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15758956,0.22629635,-0.0021051054,-0.0047561172,0.9740447,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15810943,0.22723047,-0.002525124,-0.00018297076,0.9738378,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15862943,0.2365575,-0.00044796892,-0.0023721384,0.97161454,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15914943,0.24278615,0.0009491474,-0.0060733147,0.9700604,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15966967,0.24448526,0.0001956926,-0.010322522,0.96959805,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16018943,0.24347316,-0.0012655155,-0.012360444,0.96982807,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16070943,0.2447332,-0.0018269365,-0.009086719,0.96954626,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16122946,0.24642898,-0.0028581128,-0.007321675,0.969129,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16174943,0.24628046,-0.0027528713,-0.00429812,0.96918523,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16227745,0.2500757,-0.0008763681,-0.0037520118,0.9682186,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16279743,0.25252137,-0.000976574,-0.0063561546,0.96756995,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16331747,0.25307822,-0.0020897037,-0.008857434,0.96740305,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16383746,0.2532932,-0.0022117228,-0.010465036,0.9673305,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16435743,0.253836,-0.0026146802,-0.010067881,0.96719134,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16487743,0.25169182,-0.0025181805,-0.010655668,0.96774554,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16539743,0.24978988,-0.0022326296,-0.010392427,0.9682418,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16591743,0.24798347,-0.0014683878,-0.012997296,0.96867603,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16643743,0.24299827,-0.001741593,-0.013856641,0.96992624,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16695743,0.24130972,-0.001346756,-0.010381864,0.97039175,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16747743,0.23855048,9.405823e-05,-0.00528211,0.97111577,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16799743,0.23768517,0.00012779809,0.00071869045,0.97134197,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16852546,0.23737249,3.3787965e-05,-0.001160742,0.9714181,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16904543,0.23641331,0.00017537537,-0.004715215,0.9716411,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
16956552,0.23775603,-6.4942906e-05,-0.0072700703,0.9712978,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17008543,0.23593704,-0.0019366188,-0.010438877,0.9717104,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17060543,0.23851399,-0.0007781273,-0.009017559,0.97109693,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17112543,0.23760861,-0.0012309359,-0.004714777,0.9713488,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17164546,0.23506464,-0.00095376535,-0.003263984,0.9719738,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17216543,0.23607118,-0.00067720073,-0.003784592,0.9717282,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17268543,0.2360491,-0.0001213769,-0.006224351,0.97172123,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17320543,0.23748724,-0.0017869573,-0.008685709,0.97135025,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17372543,0.23826936,-0.00095601386,-0.0076989424,0.97116816,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
17425431,0.23993774,-0.0014032222,-0.0055036074,0.9707717,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
