timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
89702143,0.0,0.0,0.0,-0.014648453,-0.019213036,-0.24128723,0.0,0.0,0.0,-0.13037479,0.0,0.0,0.0,0.0,0.00498344,0.0,0.0,0.0,0.25812382,0.25812417,4.0682616,0.0,0.0,0.0,0.09014008,0.0,0.0,0.0,0.0,0.21957974,0.0032414524,0.005500119,0.015237685,0.0,0.0,0.0,0.0,0.0,0.0
89911743,0.0,0.0,0.0,-0.013507844,-0.016889768,0.22157288,0.0,0.0,0.0,-0.122564316,0.0,0.0,0.0,0.0,0.00498344,0.0,0.0,0.0,0.2580705,0.25807086,4.0680203,0.0,0.0,0.0,0.09013995,0.0,0.0,0.0,0.0,0.21957974,0.0034868352,0.0041083614,0.01109761,0.0,0.0,0.0,0.0,0.0,0.0
90112543,0.0,0.0,0.0,-0.012753749,-0.014912433,-0.20954895,0.0,0.0,0.0,-0.16431344,0.0,0.0,0.0,0.0,0.00498344,0.0,0.0,0.0,0.2581993,0.25819966,4.068595,0.0,0.0,0.0,0.0901399,0.0,0.0,0.0,0.0,0.21957974,0.0035476012,0.00476283,0.01327536,0.0,0.0,0.0,0.0,0.0,0.0
90312588,0.0,0.0,0.0,-0.0123695135,-0.011876775,-0.057281494,0.0,0.0,0.0,-0.16022646,0.0,0.0,0.0,0.0,0.00498344,0.0,0.0,0.0,0.2581326,0.25813293,4.0683365,0.0,0.0,0.0,0.090139695,0.0,0.0,0.0,0.0,0.21957974,0.0036335874,0.0030972117,0.006364567,0.0,0.0,0.0,0.0,0.0,0.0
90520595,0.0,0.0,0.0,-0.011248902,-0.010295232,0.19976807,0.0,0.0,0.0,-0.14202535,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25814065,0.25814098,4.068393,0.0,0.0,0.0,0.090139635,0.0,0.0,0.0,0.0,0.22093804,0.0034074367,0.0047751293,0.01290224,0.0,0.0,0.0,0.0,0.0,0.0
90720551,0.0,0.0,0.0,-0.010022725,-0.008553241,0.108062744,0.0,0.0,0.0,-0.1345048,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25815466,0.258155,4.068477,0.0,0.0,0.0,0.0901395,0.0,0.0,0.0,0.0,0.22093804,0.0032531128,0.0059339046,0.017240442,0.0,0.0,0.0,0.0,0.0,0.0
90920543,0.0,0.0,0.0,-0.009743998,-0.006778856,-0.090148926,0.0,0.0,0.0,-0.14084029,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25816974,0.25817007,4.0685763,0.0,0.0,0.0,0.09013939,0.0,0.0,0.0,0.0,0.22093804,0.003306249,0.0038234075,0.007970986,0.0,0.0,0.0,0.0,0.0,0.0
91128543,0.0,0.0,0.0,-0.008671934,-0.0052432762,0.18666077,0.0,0.0,0.0,-0.13591492,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25815305,0.25815335,4.06856,0.0,0.0,0.0,0.09013934,0.0,0.0,0.0,0.0,0.22093804,0.0031655945,0.0051717125,0.013455301,0.0,0.0,0.0,0.0,0.0,0.0
91328553,0.0,0.0,0.0,-0.008745311,-0.0050109806,-0.2034607,0.0,0.0,0.0,-0.14716983,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.2581564,0.25815666,4.068602,0.0,0.0,0.0,0.09013921,0.0,0.0,0.0,0.0,0.22093804,0.0031684046,0.0038123273,0.007643943,0.0,0.0,0.0,0.0,0.0,0.0
91529377,0.0,0.0,0.0,-0.012202937,-0.011124356,0.06869507,0.0,0.0,0.0,-0.1306473,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.2581638,0.25816408,4.0686507,0.0,0.0,0.0,0.09013913,0.0,0.0,0.0,0.0,0.22093804,0.0032506532,0.0034377263,0.006611722,0.0,0.0,0.0,0.0,0.0,0.0
91729347,0.0,0.0,0.0,-0.020350954,-0.029484922,-0.087020874,0.0,0.0,0.0,-0.15238547,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.25809574,0.25809592,4.0683565,0.0,0.0,0.0,0.090138994,0.0,0.0,0.0,0.0,0.22093804,0.0032174985,0.0012468447,0.0032935704,0.0,0.0,0.0,0.0,0.0,0.0
91929343,0.0,0.0,0.0,-0.03097853,-0.047090102,0.1693573,0.0,0.0,0.0,-0.14004374,0.0,0.0,0.0,0.0,-9.1187656e-05,0.0,0.0,0.0,0.2581099,0.25811,4.068412,0.0,0.0,0.0,0.090138935,0.0,0.0,0.0,0.0,0.22093804,0.0034054383,0.004179702,0.010656848,0.0,0.0,0.0,0.0,0.0,0.0
