timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
110464221,4.5375,0.0,0,1,0,1,0,0,0
110964221,4.5987306,0.0,0,1,0,1,0,0,0
111464468,4.518164,0.0,0,1,0,1,0,0,0
111964222,4.5842285,0.0,0,1,0,1,0,0,0
112464222,4.5358887,0.0,0,1,0,1,0,0,0
112964229,4.597119,0.0,0,1,0,1,0,0,0
113474912,4.6051755,0.0,0,1,0,1,0,0,0
113974601,4.5568357,0.0,0,1,0,1,0,0,0
114484351,4.5439453,0.0,0,1,0,1,0,0,0
114984225,4.5310545,0.0,0,1,0,1,0,0,0
115484214,4.5213866,0.0,0,1,0,1,0,0,0
115984223,4.498828,0.0,0,1,0,1,0,0,0
116484221,4.527832,0.0,0,1,0,1,0,0,0
116984350,4.4923825,0.0,0,1,0,1,0,0,0
117484222,4.5213866,0.0,0,1,0,1,0,0,0
117984224,4.526221,0.0,0,1,0,1,0,0,0
118484261,4.5342774,0.0,0,1,0,1,0,0,0
118984221,4.5310545,0.0,0,1,0,1,0,0,0
119484845,4.542334,0.0,0,1,0,1,0,0,0
119994487,4.500439,0.0,0,1,0,1,0,0,0
120494228,4.600342,0.0,0,1,0,1,0,0,0
120994453,4.6035643,0.0,0,1,0,1,0,0,0
121494626,4.542334,0.0,0,1,0,1,0,0,0
121994586,4.613232,0.0,0,1,0,1,0,0,0
122504227,4.616455,0.0,0,1,0,1,0,0,0
123004269,4.6035643,0.0,0,1,0,1,0,0,0
123505886,4.56167,0.0,0,1,0,1,0,0,0
124004224,4.5439453,0.0,0,1,0,1,0,0,0
124504221,4.553613,0.0,0,1,0,1,0,0,0
125014607,4.5052733,0.0,0,1,0,1,0,0,0
125514423,4.5117188,0.0,0,1,0,1,0,0,0
126014227,4.524609,0.0,0,1,0,1,0,0,0
126514560,4.5310545,0.0,0,1,0,1,0,0,0
127015371,4.5310545,0.0,0,1,0,1,0,0,0
127514514,4.526221,0.0,0,1,0,1,0,0,0
128014427,4.51333,0.0,0,1,0,1,0,0,0
128514485,4.524609,0.0,0,1,0,1,0,0,0
129014468,4.500439,0.0,0,1,0,1,0,0,0
129514522,4.616455,0.0,0,1,0,1,0,0,0
130014430,4.6051755,0.0,0,1,0,1,0,0,0
130524956,4.5407224,0.0,0,1,0,1,0,0,0
131024224,4.563281,0.0,0,1,0,1,0,0,0
131525359,4.51333,0.0,0,1,0,1,0,0,0
132034498,4.601953,0.0,0,1,0,1,0,0,0
132534874,4.6051755,0.0,0,1,0,1,0,0,0
133034523,4.626123,0.0,0,1,0,1,0,0,0
133534569,4.552002,0.0,0,1,0,1,0,0,0
134034504,4.606787,0.0,0,1,0,1,0,0,0
134534373,4.590674,0.0,0,1,0,1,0,0,0
135034456,4.5326657,0.0,0,1,0,1,0,0,0
135534465,4.5810056,0.0,0,1,0,1,0,0,0
136035408,4.522998,0.0,0,1,0,1,0,0,0
136534462,4.5117188,0.0,0,1,0,1,0,0,0
137034221,4.5810056,0.0,0,1,0,1,0,0,0
137534502,4.479492,0.0,0,1,0,1,0,0,0
138044221,4.514941,0.0,0,1,0,1,0,0,0
138544276,4.5826173,0.0,0,1,0,1,0,0,0
139044226,4.518164,0.0,0,1,0,1,0,0,0
139544260,4.566504,0.0,0,1,0,1,0,0,0
140044224,4.5955076,0.0,0,1,0,1,0,0,0
140544276,4.51333,0.0,0,1,0,1,0,0,0
141044224,4.6051755,0.0,0,1,0,1,0,0,0
141554469,4.640625,0.0,0,1,0,1,0,0,0
142054558,4.616455,0.0,0,1,0,1,0,0,0
142564418,4.6051755,0.0,0,1,0,1,0,0,0
143064273,4.502051,0.0,0,1,0,1,0,0,0
143564223,4.6035643,0.0,0,1,0,1,0,0,0
144064224,4.5503907,0.0,0,1,0,1,0,0,0
144564221,4.5793943,0.0,0,1,0,1,0,0,0
145064447,4.508496,0.0,0,1,0,1,0,0,0
145564231,4.5358887,0.0,0,1,0,1,0,0,0
146064221,4.566504,0.0,0,1,0,1,0,0,0
146564314,4.527832,0.0,0,1,0,1,0,0,0
147064245,4.5326657,0.0,0,1,0,1,0,0,0
147574497,4.5938964,0.0,0,1,0,1,0,0,0
148074501,4.51333,0.0,0,1,0,1,0,0,0
148574727,4.5439453,0.0,0,1,0,1,0,0,0
149074531,4.5584474,0.0,0,1,0,1,0,0,0
149574548,4.5165524,0.0,0,1,0,1,0,0,0
150074607,4.5793943,0.0,0,1,0,1,0,0,0
150574440,4.6196775,0.0,0,1,0,1,0,0,0
151074230,4.4923825,0.0,0,1,0,1,0,0,0
151574459,4.5342774,0.0,0,1,0,1,0,0,0
