timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
56501170,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57502272,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58507583,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59508245,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60509320,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61518820,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62528257,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63535516,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64541178,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65554415,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66556041,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67559593,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68561154,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69564171,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70565033,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71573263,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72580319,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73584981,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74587362,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75592160,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76601805,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77608035,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78616217,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79618046,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80619366,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81626472,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82633938,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83636241,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84644366,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85654537,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86661047,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87662721,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88663633,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89672901,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90678547,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91684422,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92694045,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93695264,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94697169,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95698573,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96703481,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97711671,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98713112,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99722047,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100732157,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101734553,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102740393,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103749921,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104756370,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105757157,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106770117,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107771490,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108776211,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109785118,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110796207,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111796830,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112798527,917551,2162703,917551,0.0,0.0,0,1,0,0,13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
