timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
48989853,48988967,800000.0,1.0,0.046807807,23.625992,0.0,255,0,6,4,4,5,0,0,1,1,45
49277292,0,1200.0,0.402909,0.033677336,0.65373653,0.0,0,0,0,0,1,0,0,1,0,1,34
49991286,48988967,800000.0,1.0,0.046961162,23.627459,0.0,255,0,6,4,4,5,0,0,1,1,45
49995810,49994735,800000.0,1.0,0.046961162,23.627459,0.0,255,0,6,4,4,5,0,0,1,1,45
50283521,0,1200.0,0.402909,0.03378761,0.33191356,0.0,0,0,0,0,1,0,0,1,0,1,34
50989302,50985994,800000.0,1.0,0.046919204,23.581392,0.0,255,0,6,4,4,5,0,0,1,1,45
51288306,0,1200.0,0.402909,0.033838253,0.49563086,0.0,0,0,0,0,1,0,0,1,0,1,34
51992424,50985994,800000.0,1.0,0.04689809,23.633644,0.0,255,0,6,4,4,5,0,0,1,1,45
52001152,51998258,800000.0,1.0,0.04689809,23.633644,0.0,255,0,6,4,4,5,0,0,1,1,45
52293818,0,1200.0,0.402909,0.033813383,0.33216676,0.0,0,0,0,0,1,0,0,1,0,1,34
53001195,51998258,800000.0,1.0,0.046725392,23.563515,0.0,255,0,6,4,4,5,0,0,1,1,45
53021229,53018758,800000.0,1.0,0.025948932,23.524702,0.0,255,0,6,4,4,5,0,0,1,1,45
53303590,0,1200.0,0.402909,0.033761304,0.37633926,0.0,0,0,0,0,1,0,0,1,0,1,34
53985284,53984975,800000.0,1.0,0.025948932,23.524702,0.0,255,0,6,4,4,5,0,0,1,1,45
54314015,0,1200.0,0.402909,0.0,0.563333,0.0,0,0,0,0,1,0,0,1,0,1,34
54989963,54986813,800000.0,1.0,0.067922905,23.595219,0.0,255,0,6,4,4,5,0,0,1,1,45
55324109,0,1200.0,0.402909,0.0679618,0.3338124,0.0,0,0,0,0,1,0,0,1,0,1,34
55990777,55988240,800000.0,1.0,0.046896733,23.522203,0.0,255,0,6,4,4,5,0,0,1,1,45
56324915,0,1200.0,0.402909,0.03367844,0.49329004,0.0,0,0,0,0,1,0,0,1,0,1,34
56985195,56984367,800000.0,1.0,0.046957828,23.600805,0.0,255,0,6,4,4,5,0,0,1,1,45
57334018,0,1200.0,0.402909,0.033643145,0.33049443,0.0,0,0,0,0,1,0,0,1,0,1,34
57987268,57986015,800000.0,1.0,0.04694179,23.543804,0.0,255,0,6,4,4,5,0,0,1,1,45
58338094,0,1200.0,0.402909,0.03381483,0.40478337,0.0,0,0,0,0,1,0,0,1,0,1,34
58988514,57986015,800000.0,1.0,0.046937477,23.589579,0.0,255,0,6,4,4,5,0,0,1,1,45
58991501,58989022,800000.0,1.0,0.046937477,23.589579,0.0,255,0,6,4,4,5,0,0,1,1,45
59339715,0,1200.0,0.402909,0.033623282,0.54390603,0.0,0,0,0,0,1,0,0,1,0,1,34
59989134,59985993,800000.0,1.0,0.04696144,23.55466,0.0,255,0,6,4,4,5,0,0,1,1,45
60342046,0,1200.0,0.402909,0.03391274,0.33314282,0.0,0,0,0,0,1,0,0,1,0,1,34
60991836,60990797,800000.0,1.0,0.046925526,23.658453,0.0,255,0,6,4,4,5,0,0,1,1,45
61345178,0,1200.0,0.402909,0.03389756,0.49649957,0.0,0,0,0,0,1,0,0,1,0,1,34
61992352,61989015,800000.0,1.0,0.04692539,23.536575,0.0,255,0,6,4,4,5,0,0,1,1,45
62346494,0,1200.0,0.402909,0.03396603,0.33366632,0.0,0,0,0,0,1,0,0,1,0,1,34
62994026,61989015,800000.0,1.0,0.04693129,23.951933,0.0,255,0,6,4,4,5,0,0,1,1,45
62998612,62997991,800000.0,1.0,0.04693129,23.951933,0.0,255,0,6,4,4,5,0,0,1,1,45
63347221,0,1200.0,0.402909,0.033964198,0.40657145,0.0,0,0,0,0,1,0,0,1,0,1,34
64000429,62997991,800000.0,1.0,0.046919014,23.532381,0.0,255,0,6,4,4,5,0,0,1,1,45
64007428,64006901,800000.0,1.0,0.046919014,23.532381,0.0,255,0,6,4,4,5,0,0,1,1,45
64353045,0,1200.0,0.402909,0.033799835,0.5328445,0.0,0,0,0,0,1,0,0,1,0,1,34
64989982,64989436,800000.0,1.0,0.046912927,23.578238,0.0,255,0,6,4,4,5,0,0,1,1,45
65354754,0,1200.0,0.402909,0.033942025,0.33343047,0.0,0,0,0,0,1,0,0,1,0,1,34
65990578,64989436,800000.0,1.0,0.046932742,23.538269,0.0,255,0,6,4,4,5,0,0,1,1,45
65994922,65991216,800000.0,1.0,0.046932742,23.538269,0.0,255,0,6,4,4,5,0,0,1,1,45
66359373,0,1200.0,0.402909,0.033863124,0.52388245,0.0,0,0,0,0,1,0,0,1,0,1,34
66989104,66987519,800000.0,1.0,0.04689299,23.638058,0.0,255,0,6,4,4,5,0,0,1,1,45
67359670,0,1200.0,0.402909,0.033863124,0.52388245,0.0,0,0,0,0,1,0,0,1,0,1,34
67992342,66987519,800000.0,1.0,0.046816338,23.482876,0.0,255,0,6,4,4,5,0,0,1,1,45
67998652,67993104,800000.0,1.0,0.046816338,23.482876,0.0,255,0,6,4,4,5,0,0,1,1,45
68366261,0,1200.0,0.402909,0.033654235,0.30288813,0.0,0,0,0,0,1,0,0,1,0,1,34
68987486,68985725,800000.0,1.0,0.046958767,23.702188,0.0,255,0,6,4,4,5,0,0,1,1,45
69372082,0,1200.0,0.402909,0.033753596,0.610543,0.0,0,0,0,0,1,0,0,1,0,1,34
