timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
11716088,191.82976,28.22,99042.0,1.1767828
11726146,191.7452,28.22,99043.0,1.1767946
11746475,191.7452,28.23,99043.0,1.1767946
11756526,191.82976,28.23,99042.0,1.1767828
11766609,192.08606,28.23,99038.99,1.1767471
11786931,191.57611,28.22,99044.99,1.1768184
11796986,191.15334,28.22,99050.0,1.1768779
11807188,191.9143,28.22,99041.0,1.1767709
11827321,191.57611,28.22,99044.99,1.1768184
11837688,191.407,28.22,99047.0,1.1768422
11847751,192.00151,28.22,99040.0,1.176759
11867850,191.82976,28.22,99042.0,1.1767828
11877904,191.9143,28.22,99041.0,1.1767709
11888041,192.08606,28.22,99038.99,1.1767471
11908138,191.66064,28.22,99044.0,1.1768066
11918488,191.49153,28.22,99046.0,1.1768303
11928542,191.82976,28.22,99042.0,1.1767828
11948861,191.49153,28.22,99046.0,1.1768303
11958912,191.7452,28.22,99043.0,1.1767946
11968965,191.57611,28.22,99044.99,1.1768184
11989236,191.57611,28.22,99044.99,1.1768184
11999340,191.66064,28.22,99044.0,1.1768066
12009670,191.49153,28.22,99046.0,1.1768303
12029775,191.23788,28.22,99049.0,1.1768659
12040020,191.82976,28.22,99042.0,1.1767828
12050069,191.82976,28.22,99042.0,1.1767828
12070497,191.82976,28.22,99042.0,1.1767828
12080615,192.33972,28.22,99036.0,1.1767116
12090664,191.49153,28.22,99046.0,1.1768303
12110886,192.00151,28.22,99040.0,1.176759
12120934,191.49153,28.22,99046.0,1.1768303
12131194,191.7452,28.22,99043.0,1.1767946
12151323,192.08606,28.22,99038.99,1.1767471
12161696,192.42429,28.22,99035.0,1.1766996
12172010,192.08606,28.22,99038.99,1.1767471
12192107,191.82976,28.22,99042.0,1.1767828
12202491,191.9143,28.22,99041.0,1.1767709
12212545,191.7452,28.22,99043.0,1.1767946
12232663,191.82976,28.21,99042.0,1.1767828
12242712,191.7452,28.21,99043.0,1.1767946
12252849,191.57611,28.21,99044.99,1.1768184
12272945,191.7452,28.21,99043.0,1.1767946
12283215,191.57611,28.21,99044.99,1.1768184
12293327,191.9143,28.21,99041.0,1.1767709
12313634,191.7452,28.21,99043.0,1.1767946
12323689,191.82976,28.21,99042.0,1.1767828
12333743,191.23788,28.21,99049.0,1.1768659
12354118,191.9143,28.22,99041.0,1.1767709
12364169,191.49153,28.22,99046.0,1.1768303
12374484,192.00151,28.22,99040.0,1.176759
12394626,191.82976,28.21,99042.0,1.1767828
12404795,191.9143,28.21,99041.0,1.1767709
12414870,192.25517,28.21,99037.0,1.1767234
12435294,191.9143,28.21,99041.0,1.1767709
12445394,191.407,28.21,99047.0,1.1768422
12455449,191.9143,28.21,99041.0,1.1767709
12476045,191.49153,28.21,99046.0,1.1768303
12486129,192.25517,28.21,99037.0,1.1767234
12496187,191.7452,28.21,99043.0,1.1767946
12516461,191.57611,28.21,99044.99,1.1768184
12526565,191.9143,28.21,99041.0,1.1767709
12536610,191.57611,28.21,99044.99,1.1768184
12556787,191.82976,28.21,99042.0,1.1767828
12566844,191.9143,28.21,99041.0,1.1767709
12576905,192.08606,28.21,99038.99,1.1767471
12597374,192.17061,28.21,99038.0,1.1767353
12607432,191.7452,28.21,99043.0,1.1767946
12617552,191.66064,28.21,99044.0,1.1768066
12637680,191.66064,28.21,99044.0,1.1768066
12647731,191.15334,28.21,99050.0,1.1768779
12657782,191.7452,28.21,99043.0,1.1767946
12678065,191.57611,28.21,99044.99,1.1768184
12688119,191.82976,28.21,99042.0,1.1767828
12698446,192.25517,28.21,99037.0,1.1767234
12718574,191.7452,28.21,99043.0,1.1767946
