timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
137250943,32767,32767,32767,32767,32767,32767,32767
137254956,32767,32767,32767,32767,32767,32767,32767
137258943,32767,32767,32767,32767,32767,-53,32767
137262955,32767,32767,32767,32767,32767,32767,32767
137266943,32767,32767,32767,32767,-41,32767,32767
137270943,32767,32767,32767,32767,32767,32767,32767
137274943,32767,32767,32767,32767,32767,32767,32767
137279022,32767,32767,32767,32767,-61,32767,32767
137282943,32767,32767,32767,32767,32767,-76,32767
137286943,32767,32767,32767,32767,-37,32767,32767
137290943,32767,32767,32767,32767,32767,32767,32767
137294943,32767,32767,32767,32767,32767,32767,32767
137298960,32767,32767,32767,32767,32767,32767,32767
137302943,32767,32767,32767,32767,32767,-61,32767
137306946,32767,32767,32767,32767,-36,32767,32767
137310943,32767,32767,32767,32767,32767,32767,32767
137314943,32767,32767,32767,32767,32767,32767,32767
137318943,32767,32767,32767,32767,-53,32767,32767
137322943,32767,32767,32767,32767,32767,-45,32767
137326943,32767,32767,32767,32767,32767,32767,32767
137330997,32767,32767,32767,32767,-73,32767,32767
137334943,32767,32767,32767,32767,32767,32767,32767
137338943,32767,32767,32767,32767,32767,32767,32767
137342943,32767,32767,32767,32767,32767,32767,32767
137346943,32767,32767,32767,32767,32767,-69,32767
137350943,32767,32767,32767,32767,-68,32767,32767
137354946,32767,32767,32767,32767,32767,32767,32767
137358958,32767,32767,32767,32767,-47,32767,32767
137363001,32767,32767,32767,32767,32767,32767,32767
137366943,32767,32767,32767,32767,32767,-53,32767
137370943,32767,32767,32767,32767,-67,32767,32767
137374943,32767,32767,32767,32767,32767,32767,32767
137378943,32767,32767,32767,32767,32767,32767,32767
137382997,32767,32767,32767,32767,32767,32767,32767
137386943,32767,32767,32767,32767,32767,32767,32767
137390952,32767,32767,32767,32767,-65,-76,32767
137394943,32767,32767,32767,32767,32767,32767,32767
137398943,32767,32767,32767,32767,-44,32767,32767
137403778,32767,32767,-107,32767,32767,32767,32767
137407746,32767,32767,32767,32767,32767,32767,32767
137411746,32767,32767,32767,32767,-69,-69,32767
137415743,32767,32767,32767,32767,32767,32767,32767
137419743,32767,32767,32767,32767,32767,32767,32767
137423755,32767,32767,32767,32767,32767,32767,32767
137427743,32767,32767,32767,32767,32767,32767,32767
137431746,32767,32767,32767,32767,-68,-55,32767
137435746,32767,32767,32767,32767,32767,32767,32767
137439743,32767,32767,32767,32767,-45,32767,32767
137443743,32767,32767,32767,32767,32767,32767,32767
137447743,32767,32767,32767,32767,32767,32767,32767
137451743,32767,32767,32767,32767,-64,32767,32767
137455800,32767,32767,32767,32767,32767,-77,32767
137459743,32767,32767,32767,32767,32767,32767,32767
137463778,32767,32767,32767,32767,32767,32767,32767
137467743,32767,32767,32767,32767,32767,32767,32767
137471743,32767,32767,32767,32767,-61,32767,32767
137475789,32767,32767,32767,32767,32767,-61,32767
137479743,32767,32767,32767,32767,-40,32767,32767
137483775,32767,32767,32767,32767,32767,32767,32767
137487743,32767,32767,32767,32767,32767,32767,32767
137491743,32767,32767,32767,32767,-60,32767,32767
137495743,32767,32767,32767,32767,32767,32767,32767
137499743,32767,32767,32767,32767,32767,-77,32767
137503743,32767,32767,32767,32767,32767,32767,32767
137507788,32767,32767,32767,32767,32767,32767,32767
137511743,32767,32767,32767,32767,-57,32767,32767
137515743,32767,32767,32767,32767,32767,32767,32767
137519743,32767,32767,32767,32767,-36,-61,32767
137523743,32767,32767,32767,32767,32767,32767,32767
137527743,32767,32767,32767,32767,32767,32767,32767
137531743,32767,32767,32767,32767,-55,32767,32767
137535753,32767,32767,32767,32767,32767,32767,32767
137539743,32767,32767,32767,32767,32767,-45,32767
137543743,32767,32767,32767,32767,32767,32767,32767
137547778,32767,32767,32767,32767,32767,32767,32767
137551743,32767,32767,32767,32767,-53,32767,32767
137555764,32767,32767,32767,32767,32767,32767,32767
137559777,32767,32767,32767,32767,32767,32767,32767
137563743,32767,32767,32767,32767,-73,-68,32767
137567758,32767,32767,32767,32767,32767,32767,32767
137571743,32767,32767,32767,32767,-52,32767,32767
137575752,32767,32767,32767,32767,32767,32767,32767
137579743,32767,32767,32767,32767,32767,32767,32767
137583743,32767,32767,32767,32767,32767,-53,32767
137587776,32767,32767,32767,32767,32767,32767,32767
137591743,32767,32767,32767,32767,-48,32767,32767
137595743,32767,32767,32767,32767,32767,32767,32767
137599768,32767,32767,32767,32767,32767,32767,32767
137603743,32767,32767,-45,32767,-68,32767,32767
137607743,32767,32767,32767,32767,32767,-76,32767
137611797,32767,32767,32767,32767,-47,32767,32767
137615743,32767,32767,32767,32767,32767,32767,32767
137619743,32767,32767,32767,32767,32767,32767,32767
137623749,32767,32767,32767,32767,32767,32767,32767
