timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
65576421,0.19231278,0.022043087,0.059571035
65778123,0.21385977,0.019646674,0.05146885
65977988,0.22016174,0.026115159,0.059971187
66180443,0.21675043,0.024576725,0.055567242
66386472,0.2582741,0.02122515,0.058848828
66586573,0.18526454,0.019508155,0.059917517
66786832,0.19530131,0.018211821,0.05527265
66990010,0.24311563,0.023135453,0.069387026
67196496,0.22539757,0.02396936,0.060850568
67396861,0.24757686,0.023393955,0.06400885
67598919,0.22598366,0.010554167,0.06475695
67804447,0.19935423,0.021033585,0.065950476
68004907,0.13296434,0.01917491,0.072119646
68207689,0.21846145,0.032363616,0.073807485
68412502,0.2238266,0.02219626,0.0668897
68613310,0.18158688,0.019485082,0.074275985
68816516,0.24498552,0.025710737,0.07193572
69022016,0.31205502,0.019595623,0.068450175
69222067,0.19679993,0.021572374,0.0741235
69423578,0.31987613,0.018174844,0.06840561
69624503,0.1934439,0.020393526,0.06353928
69826557,0.29547715,0.022305116,0.06559946
70026582,0.24369052,0.017850695,0.06936266
70233041,0.21732457,0.017855328,0.07289368
70435398,0.18029566,0.012930743,0.073100604
70635660,0.21689406,0.018780595,0.068623066
70840882,0.19192834,0.018525615,0.06771481
71041218,0.19039798,0.018565288,0.07212734
71242089,0.2139415,0.021278558,0.07071411
71442663,0.1943483,0.024869885,0.06840333
71645005,0.19880828,0.021917852,0.07229485
71850021,0.16688111,0.023408636,0.06676823
72050575,0.183886,0.026064567,0.07248497
72251991,0.18870676,0.02205178,0.077467814
72454759,0.20673195,0.01675673,0.07141935
72654849,0.20234971,0.01842991,0.06901648
72855357,0.20223595,0.020464923,0.072033934
73059650,0.25487864,0.02023787,0.07219557
73260346,0.22073987,0.017858727,0.076838635
73461818,0.1831816,0.019506894,0.06746232
73660446,0.14996603,0.01755706,0.06793396
73864391,0.23081546,0.025215866,0.06423249
74065090,0.18803728,0.021777282,0.061429996
74265119,0.19799906,0.025302455,0.06820396
74469998,0.2019363,0.013071723,0.06353688
74670721,0.25244945,0.023439283,0.06998494
74870826,0.21410051,0.02403908,0.07218743
75070822,0.24580655,0.024482433,0.067987405
75274653,0.20396176,0.016792921,0.071015835
75478850,0.25095606,0.023468228,0.072942086
75680453,0.19994679,0.026314683,0.07578322
75883422,0.2598009,0.021059165,0.0801445
76089003,0.2554737,0.022049475,0.08177063
76288513,0.24977677,0.02299442,0.076738596
76492160,0.1587193,0.020698145,0.08233993
76697614,0.1965122,0.022068445,0.08577199
76898084,0.19757451,0.013651675,0.07589055
77097944,0.19057709,0.017431004,0.08117191
77299607,0.24519469,0.019016754,0.07574385
77501230,0.22778766,0.015850917,0.0746605
77702506,0.24681422,0.02320903,0.08365315
77907228,0.3587169,0.025477353,0.078137204
78109987,0.28389263,0.017819488,0.078653954
78310878,0.16059536,0.026582442,0.081267856
78516121,0.20200682,0.022256006,0.0789598
78717069,0.20577301,0.018091267,0.078105934
78920216,0.27616027,0.021406487,0.07245175
79119717,0.27218056,0.018549552,0.08215938
79325070,0.1919031,0.01854937,0.0742577
79526798,0.2019086,0.021745097,0.082814135
79726907,0.23241778,0.013823268,0.08008903
79928524,0.19395955,0.0212786,0.08150568
80134759,0.26658386,0.033163153,0.087477796
80337785,0.1763825,0.02196925,0.08406743
80537290,0.23563352,0.024228446,0.09002348
80743573,0.18572846,0.020531084,0.084605604
80946581,0.20173301,0.020308612,0.08562289
81146767,0.2244021,0.017922828,0.083638236
81352924,0.22109048,0.021856502,0.08036943
81553270,0.18448414,0.019315578,0.07959515
81752396,0.19643411,0.019798951,0.076963544
81956099,0.19289298,0.016828734,0.06940878
82162048,0.1954185,0.020832468,0.07683955
82362088,0.19536528,0.01771456,0.076276384
82565046,0.19198017,0.020706177,0.07012149
82766585,0.20067091,0.017991668,0.06933024
82967524,0.20536174,0.020153087,0.0670115
83172517,0.20081815,0.018775778,0.07629293
83375655,0.20316437,0.018616889,0.07445261
83576195,0.20498152,0.019916296,0.08265488
83777167,0.19957155,0.017851437,0.07299343
83978782,0.20279825,0.020973265,0.07476723
84184473,0.20593542,0.02048901,0.08325675
84385008,0.20791055,0.019502677,0.07510531
84587621,0.20442927,0.0217417,0.0800903
84793890,0.20224333,0.020476447,0.07599114
84993803,0.2168035,0.017417252,0.07849535
85197125,0.20633207,0.020065963,0.078458026
85402053,0.2103065,0.0196216,0.080540776
85602052,0.20274335,0.017015478,0.07922962
85805314,0.20378722,0.020035261,0.078023605
86010906,0.20490402,0.020273874,0.08273687
86210792,0.20129284,0.018867133,0.07004366
86414744,0.2125789,0.018796708,0.07288737
86620160,0.20537865,0.017101567,0.08048413
86819709,0.20192944,0.021341592,0.078187704
87023722,0.20331806,0.018244257,0.07908869
87228486,0.20504336,0.018098153,0.080604956
87431583,0.20298584,0.019882932,0.078505665
87631547,0.19301708,0.020093061,0.087169275
87837185,0.19914104,0.020913733,0.08250753
88037708,0.20048,0.016728288,0.07865705
88239350,0.19339712,0.016860679,0.081295006
88439723,0.19414829,0.017152924,0.08025126
88642543,0.1855445,0.01857289,0.08308116
88842645,0.19991484,0.01726223,0.0899098
89042002,0.19291396,0.020559723,0.08421453
89246854,0.2003778,0.016128948,0.08650837
89447707,0.20107543,0.017959103,0.08588828
89649234,0.19292575,0.017789269,0.085300684
89850098,0.1888798,0.017618548,0.0799255
90052516,0.19303188,0.018514587,0.08588059
90253289,0.18861428,0.01744719,0.077549055
90457991,0.20097697,0.01807419,0.076940395
90661757,0.19962132,0.0186385,0.08037494
90861855,0.20546514,0.019631743,0.07974238
91061192,0.19635539,0.018284038,0.087682545
91266066,0.19334278,0.018230313,0.07740482
91469294,0.18714643,0.01966342,0.07898563
91670000,0.22193739,0.01935247,0.076266445
91875698,0.19155017,0.020774344,0.087267525
92076389,0.22403716,0.021453124,0.08422576
92279318,0.20747073,0.021757932,0.084327064
92479353,0.29219636,0.020284485,0.07897835
92684965,0.20255566,0.021800807,0.07955786
92888151,0.18000789,0.023909548,0.08328332
93087667,0.21814215,0.021284357,0.08614128
93293219,0.17592783,0.021347744,0.081129
93497810,0.14268404,0.02152489,0.078222096
93697209,0.20512225,0.017247783,0.08120345
93902896,0.2750751,0.017500058,0.08211413
94105765,0.22860253,0.015781058,0.08242531
94306112,0.2145153,0.014598849,0.07784403
94510827,0.20182227,0.018386975,0.0766268
94711596,0.20351985,0.019597422,0.08636897
94912212,0.18964812,0.016923403,0.07650027
95111718,0.19030231,0.026579252,0.086098805
95316139,0.20513819,0.022984505,0.07812547
95521300,0.27755553,0.022093276,0.07712552
95720503,0.19435084,0.023563607,0.09490144
95922098,0.16874155,0.027089654,0.08686107
96125182,0.22980739,0.023463406,0.07978764
96329248,0.19649008,0.022408064,0.08735718
96530033,0.17705287,0.020801106,0.08812282
96730874,0.1489289,0.01569286,0.08925601
96933973,0.18081802,0.018063337,0.086897865
97134661,0.23263149,0.020782258,0.09035353
97339399,0.19953255,0.023411363,0.088104345
97539687,0.26946908,0.020498844,0.0940266
97739704,0.19751191,0.03381535,0.083971575
97942741,0.19878459,0.025582058,0.090321496
98149758,0.19249555,0.021004582,0.08698849
98352169,0.20746526,0.02391057,0.08802784
98551557,0.18433928,0.022021657,0.0909344
98758452,0.22897206,0.02241538,0.095107354
98958064,0.20359938,0.027901128,0.080273464
99161760,0.2450513,0.027022451,0.084265605
99367356,0.19955586,0.023479141,0.080088615
