timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
13683745,0,0.0,0.0,0.0,0.0,0.42842847,3.323168e-05,8.524516e-06,0.0,-0.118145816,-0.0077567496,-0.11245968,-0.052275598,0.008307921,0.0021311291,0.0,0.5342662,-0.8399862,-0.20115182,2.7314696,0.0,0.25056434,0.11245968,0.17807576,0.32362932,0.22931476,0.18170683,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13779743,0,0.0,0.0,0.0,0.0,0.4260858,3.323168e-05,8.524516e-06,0.0,-0.047590867,0.0056757857,-0.09326444,-0.03213174,0.008307921,0.0021311291,0.0,-0.44027093,-0.106938116,-0.02661419,2.730509,0.0,0.252907,0.09326444,0.1748582,0.3215778,0.21812889,0.17890537,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13884543,0,0.0,0.0,0.0,0.0,0.42022473,3.323168e-05,8.524516e-06,0.0,-0.27957147,0.12171242,-0.08949203,-0.03204691,0.008307921,0.0021311291,0.0,-0.75738126,-0.49896148,0.17499639,2.7268777,0.0,0.25876808,0.08949203,0.17309232,0.3207159,0.20883454,0.17647386,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
13988555,0,0.0,0.0,0.0,0.0,0.4183372,3.323168e-05,8.524516e-06,0.0,-0.20941606,0.023509402,-0.089001134,-0.031213004,0.008307921,0.0021311291,0.0,2.7288723,-1.1149251,-0.3587715,2.7317123,0.0,0.2606556,0.089001134,0.17123683,0.319815,0.19986203,0.17409262,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14084603,0,0.0,0.0,0.0,0.0,0.41748625,3.323168e-05,8.524516e-06,0.0,-0.15927592,0.02779069,-0.09256252,-0.032613307,0.008307921,0.0021311291,0.0,0.4391704,0.66722256,0.20951381,2.7253573,0.0,0.26150656,0.09256252,0.16818187,0.31785038,0.19123127,0.17147529,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14188607,0,0.0,0.0,0.0,0.0,0.41565332,3.323168e-05,8.524516e-06,0.0,-0.16987097,0.08956191,-0.092159666,-0.03153098,0.008307921,0.0021311291,0.0,0.05820672,-0.11870288,0.046677876,2.7293868,0.0,0.2633395,0.092159666,0.1663371,0.31690794,0.18366526,0.16913167,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14292543,0,0.0,0.0,0.0,0.0,0.41525462,3.323168e-05,8.524516e-06,0.0,-0.1826688,0.050816484,-0.0849291,-0.022514673,0.008307921,0.0021311291,0.0,0.0152574,-0.8027508,-0.0017603905,2.73475,0.0,0.2637382,0.0849291,0.16468777,0.31602237,0.17711616,0.16693752,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14396549,0,0.0,0.0,0.0,0.0,0.41774362,3.323168e-05,8.524516e-06,0.0,-0.083488464,-0.04211293,-0.08230328,-0.015663883,0.008307921,0.0021311291,0.0,2.1961982,-1.4771823,-0.064877465,2.7468674,0.0,0.26124918,0.08230328,0.1588575,0.31127024,0.16799396,0.16331553,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14500544,0,0.0,0.0,0.0,0.0,0.41803125,3.323168e-05,8.524516e-06,0.0,0.07937197,-0.043683987,-0.068319485,0.00054162624,0.008307921,0.0021311291,0.0,0.27844635,0.34581122,0.4600482,2.747775,0.0,0.26096156,0.068319485,0.15743147,0.31041563,0.1630914,0.16121149,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14596543,0,0.0,0.0,0.0,0.0,0.41870677,3.323168e-05,8.524516e-06,0.0,-0.03805109,0.03967235,-0.084937,-0.01524426,0.008307921,0.0021311291,0.0,0.1091481,-1.1370584,-0.068912745,2.7518475,0.0,0.26028603,0.084937,0.1588594,0.31221744,0.16122586,0.16030228,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14701379,0,0.0,0.0,0.0,0.0,0.42206118,3.323168e-05,8.524516e-06,0.0,0.032441787,-0.045516856,-0.07605782,-0.0025313832,0.008307921,0.0021311291,0.0,0.67465,-1.6077049,0.016139591,2.747633,0.0,0.25693163,0.07605782,0.1536104,0.30756807,0.15483308,0.15691617,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
