timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
10144641,10144544,-0.059079967,-0.0038697142,-0.05470348
10168662,10168546,-0.08123366,-0.011325816,0.061640527
10188641,10188546,-0.011872709,-0.008670414,0.0641552
10211049,10210945,0.02031921,-0.01084397,-0.013993423
10231049,10230944,-0.018202202,0.029438017,-0.11636985
10252652,10252546,0.03992181,0.040648505,-0.15644178
10272642,10272544,0.054113377,0.010984134,-0.12810796
10294251,10294143,0.017189266,0.0070734518,-0.05199353
10316012,10315801,-0.005825572,0.02509734,-0.011950754
10336785,10336604,-0.02114634,0.026477259,0.0067041786
10357616,10357403,-0.04223664,-0.017679248,0.0015828105
10377439,10377344,-0.0011728357,-0.04023538,-0.042807624
10401439,10401344,0.052310377,0.035177622,-0.11190443
10425500,10425394,-0.0023692744,0.012164864,-0.108686514
10449461,10449346,-0.044938684,-0.031177802,-0.03492535
10472693,10472589,-0.04433841,-0.03268721,-0.03035703
10493438,10493343,-0.055280864,-0.0051392857,-0.017111722
10515841,10515746,-0.064080134,0.009964992,-0.028735662
10535839,10535744,-0.030723931,-0.008312556,-0.019105688
10556692,10556588,0.04913285,-0.0056575933,-0.04112744
10577441,10577345,0.06424722,0.042258505,-0.079848416
10600646,10600544,0.03354093,0.040770955,-0.10694161
10625484,10625378,0.07009232,0.013333736,-0.109276675
10648683,10648578,0.016020106,0.016623458,-0.107235536
10672655,10672544,-0.0150147565,-0.023239298,-0.04688561
10693446,10693343,-0.03941699,-0.036552973,-0.0168437
10713475,10713371,-0.058246084,-0.015635489,-0.0091581475
10735054,10734943,-0.01853611,-0.0069908705,-0.00795098
10756657,10756547,0.03334568,-0.014007785,-0.048392918
10777460,10777363,0.046250936,0.0062496574,-0.10648204
10797453,10797346,-0.024355909,0.054072034,-0.1519788
10819073,10818966,0.0018886247,0.03856351,-0.09823063
10840650,10840544,0.025240876,-0.038788643,-0.014402015
10861440,10861346,0.021857167,0.013537822,0.008586482
10881461,10881364,-0.032148115,0.031849645,-0.036432795
10903047,10902943,-0.031120216,-0.011085575,-0.064230636
10924657,10924551,0.033263847,-0.06296604,-0.08092719
10946315,10946198,-0.001684309,0.0043738233,-0.04563109
10969439,10969344,0.011582823,0.04217075,-0.0020054248
10990286,10990170,0.035451073,0.0023717273,-0.0014222669
11012698,11012593,0.006329083,-0.002802486,-0.04079846
11032639,11032544,0.036056057,0.0025561217,-0.0919595
11053438,11053343,0.047611155,0.027730199,-0.12338178
11074258,11074144,-0.0020141597,0.026579924,-0.07478612
11098260,11098156,-0.021368442,-0.02679855,0.009590506
11121450,11121346,0.015274934,-0.028775802,-0.003483222
11141490,11141378,-0.027626669,0.010260035,-0.052685216
11162241,11162146,-0.07888819,0.0062749437,-0.069262095
11182248,11182146,-0.07352386,0.014793263,-0.040892117
11204651,11204545,0.030736504,0.010487101,0.0048312563
11225495,11225378,0.055335972,0.07727971,0.024648748
11246248,11246146,0.06263884,0.068720244,0.034599986
11266243,11266144,0.14437553,0.08878062,0.029826365
11290266,11290166,0.13922961,0.02526882,-0.023955898
11312697,11312592,0.03218841,-0.0061646146,-0.052115846
11333461,11333363,-0.050199766,-0.049159408,-0.034770582
11354259,11354152,-0.060889244,-0.06891328,0.012345075
11375838,11375743,-0.011543914,-0.12161288,0.0024523651
11397617,11397401,0.017673953,-0.060855683,-0.053617317
11418294,11418193,0.045812875,-0.046997447,-0.018205428
11439107,11439001,-0.035117183,-0.054068938,-0.059115876
11459885,11459780,-0.0068964246,-0.0047753146,-0.017000068
11482239,11482144,-0.037915856,0.04977504,-0.07750504
11507057,11506946,0.0076392903,0.11893813,-0.11354911
11530241,11530144,-0.0017547032,0.041995917,-0.051707316
11551073,11550967,0.028576905,-0.009795641,-0.03612308
11571097,11570983,0.09694591,0.0633529,-0.060208227
11595092,11594981,-0.01800225,0.026151244,-0.05422746
11618268,11618157,-0.062031493,-0.045180216,-0.05722321
11642246,11642144,-0.012981045,-0.07216583,-0.04652594
11663043,11662946,-0.04896806,-0.066864796,-0.013491843
11683043,11682946,-0.01645483,-0.0041214125,0.06984249
